Tid (h);Norm konc. 5
2.244444444;0.080916577
2.247222222;0.080660836
2.25;0.080405094
2.252777778;0.080353946
2.255555556;0.080814281
2.258333333;0.080814281
2.261111111;0.080660836
2.263888889;0.080609687
2.266666667;0.080405094
2.269444444;0.080405094
2.272222222;0.080558539
2.275;0.081018874
2.277777778;0.084854995
2.280555556;0.080558539
2.283333333;0.080660836
2.286111111;0.08173495
2.288888889;0.080814281
2.291666667;0.080865429
2.294444444;0.080558539
2.297222222;0.080353946
2.3;0.08025165
2.302777778;0.080353946
2.305555556;0.080047056
2.308333333;0.080865429
2.311111111;0.081479208
2.313888889;0.081632653
2.316666667;0.081990691
2.319444444;0.081786098
2.322222222;0.081530357
2.325;0.081018874
2.327777778;0.081172319
2.330555556;0.08142806
2.333333333;0.081632653
2.336111111;0.081786098
2.338888889;0.082399877
2.341666667;0.082809063
2.344444444;0.087156667
2.347222222;0.081683801
2.35;0.08260447
2.352777778;0.083525139
2.355555556;0.08439466
2.358333333;0.084803846
2.361111111;0.085161884
2.363888889;0.08736126
2.366666667;0.087463557
2.369444444;0.088077336
2.372222222;0.088537671
2.375;0.088333078
2.377777778;0.090430157
2.380555556;0.095954171
2.383333333;0.101427037
2.386111111;0.103063782
2.388888889;0.103626413
2.391666667;0.103268375
2.394444444;0.101682778
2.397222222;0.100301775
2.4;0.099227661
2.402777778;0.09835814
2.405555556;0.094931206
2.408333333;0.093038719
2.411111111;0.091095085
2.413888889;0.090685898
2.416666667;0.090379009
2.419444444;0.090123267
2.422222222;0.093754795
2.425;0.091095085
2.427777778;0.095493837
2.430555556;0.088179633
2.433333333;0.088333078
2.436111111;0.089816378
2.438888889;0.089304895
2.441666667;0.089611785
2.444444444;0.089765229
2.447222222;0.08945834
2.45;0.093652499
2.452777778;0.088691116
2.455555556;0.088998005
2.458333333;0.089100302
2.461111111;0.089407191
2.463888889;0.08945834
2.466666667;0.093141016
2.469444444;0.089765229
2.472222222;0.089918674
2.475;0.089714081
2.477777778;0.089816378
2.480555556;0.089918674
2.483333333;0.089816378
2.486111111;0.089765229
2.488888889;0.089662933
2.491666667;0.089560636
2.494444444;0.08945834
2.497222222;0.088895709
2.5;0.088742264
2.502777778;0.088486522
2.505555556;0.088281929
2.508333333;0.088077336
2.511111111;0.08797504
2.513888889;0.087821595
2.516666667;0.087821595
2.519444444;0.087105519
2.522222222;0.086542888
2.525;0.085775664
2.527777778;0.085622219
2.530555556;0.085315329
2.533333333;0.085161884
2.536111111;0.085008439
2.538888889;0.085059588
2.541666667;0.084957291
2.544444444;0.085059588
2.547222222;0.085161884
2.55;0.085213033
2.552777778;0.085264181
2.555555556;0.085622219
2.558333333;0.08587796
2.561111111;0.086031405
2.563888889;0.086235998
2.566666667;0.08618485
2.569444444;0.086235998
2.572222222;0.086235998
2.575;0.085980257
2.577777778;0.085929108
2.580555556;0.086287146
2.583333333;0.08649174
2.586111111;0.086082553
2.588888889;0.086031405
2.591666667;0.086031405
2.594444444;0.085673367
2.597222222;0.085417626
2.6;0.085213033
2.602777778;0.085161884
2.605555556;0.085110736
2.608333333;0.084599253
2.611111111;0.084036622
2.613888889;0.084445808
2.616666667;0.084906143
2.619444444;0.085417626
2.622222222;0.087872743
2.625;0.088691116
2.627777778;0.089560636
2.630555556;0.089509488
2.633333333;0.08945834
2.636111111;0.09032786
2.638888889;0.090890492
2.641666667;0.091504271
2.644444444;0.092629533
2.647222222;0.093754795
2.65;0.094675464
2.652777778;0.096005319
2.655555556;0.096516802
2.658333333;0.102654596
2.661111111;0.10521201
2.663888889;0.10638842
2.666666667;0.106899903
2.669444444;0.10669531
2.672222222;0.106848755
2.675;0.106439568
2.677777778;0.104137896
2.680555556;0.101836223
2.683333333;0.10132474
2.686111111;0.100659813
2.688888889;0.099278809
2.691666667;0.097284026
2.694444444;0.096670247
2.697222222;0.095238095
2.7;0.094573168
2.702777778;0.094266278
2.705555556;0.093754795
2.708333333;0.093754795
2.711111111;0.093499054
2.713888889;0.093294461
2.716666667;0.093345609
2.719444444;0.094522019
2.722222222;0.096005319
2.725;0.097642064
2.727777778;0.099483402
2.730555556;0.10045522
2.733333333;0.102552299
2.736111111;0.10459823
2.738888889;0.108485499
2.741666667;0.113446883
2.744444444;0.131604522
2.747222222;0.137077387
2.75;0.119993862
2.752777778;0.112475065
2.755555556;0.114930183
2.758333333;0.107615979
2.761111111;0.101580482
2.763888889;0.100762109
2.766666667;0.092220347
2.769444444;0.091197381
2.772222222;0.090532454
2.775;0.089611785
2.777777778;0.087310112
2.780555556;0.086696333
2.783333333;0.085213033
2.786111111;0.085008439
2.788888889;0.085213033
2.791666667;0.086287146
2.794444444;0.086952074
2.797222222;0.087207815
2.8;0.088026188
2.802777778;0.088691116
2.805555556;0.090072119
2.808333333;0.090788195
2.811111111;0.090737047
2.813888889;0.090072119
2.816666667;0.089662933
2.819444444;0.089253747
2.822222222;0.088691116
2.825;0.089100302
2.827777778;0.088998005
2.830555556;0.08797504
2.833333333;0.08766815
2.836111111;0.087054371
2.838888889;0.086849778
2.841666667;0.086645184
2.844444444;0.086542888
2.847222222;0.086389443
2.85;0.086235998
2.852777778;0.085929108
2.855555556;0.085673367
2.858333333;0.085110736
